station id, station name, valid,povp. dnevna T [°C],povp. veter [m/s],povp. rel. vla. [%],povp. tlak [hPa],količina padavin [mm],trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,1993-01-01,0.7,6.3,43,1026,0,6.6

_1896,PORTOROŽ - LETALIŠČE,1993-01-02,-3.4,6.6,46,1027,0,4

_1896,PORTOROŽ - LETALIŠČE,1993-01-03,-1.7,6.5,47,1025,0,1.6

_1896,PORTOROŽ - LETALIŠČE,1993-01-04,-1,3.6,46,1031,0,6.4

_1896,PORTOROŽ - LETALIŠČE,1993-01-05,-1.4,2.8,59,1036,0,7.2

_1896,PORTOROŽ - LETALIŠČE,1993-01-06,0.1,3.3,68,1033,0,7.4

_1896,PORTOROŽ - LETALIŠČE,1993-01-07,1.8,2.7,63,1024,0,0.7

_1896,PORTOROŽ - LETALIŠČE,1993-01-08,3.5,2.7,76,1024,0,6.2

_1896,PORTOROŽ - LETALIŠČE,1993-01-09,3.2,3.1,89,1028,0,6.6

_1896,PORTOROŽ - LETALIŠČE,1993-01-10,7.1,2.5,82,1027,0,5.5

_1896,PORTOROŽ - LETALIŠČE,1993-01-11,7.2,0.7,90,1023,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-12,7.4,1.1,92,1021,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-13,7.8,0.9,95,1029,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-14,8.3,1.3,97,1030,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-15,7.4,2.3,96,1034,0,4.3

_1896,PORTOROŽ - LETALIŠČE,1993-01-16,7,2.3,93,1036,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-17,6.3,0.7,98,1034,0.1,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-18,5.9,0.6,94,1030,0.4,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-19,3.2,2.3,95,1028,0,1.6

_1896,PORTOROŽ - LETALIŠČE,1993-01-20,4.3,1.1,99,1029,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-21,3.4,1,97,1031,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-22,4.3,1.5,99,1030,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-23,5.4,1.2,96,1027,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-24,6.2,0.5,95,1022,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-25,5.9,1.7,98,1010,0,0

_1896,PORTOROŽ - LETALIŠČE,1993-01-26,1.6,3.9,57,1019,0,7.1

_1896,PORTOROŽ - LETALIŠČE,1993-01-27,2,2.1,76,1013,0,7.6

_1896,PORTOROŽ - LETALIŠČE,1993-01-28,5.8,2.9,79,1016,0,1.1

_1896,PORTOROŽ - LETALIŠČE,1993-01-29,5.2,1.9,88,1017,0,1.8

_1896,PORTOROŽ - LETALIŠČE,1993-01-30,2.6,5.3,45,1027,0,8.2

_1896,PORTOROŽ - LETALIŠČE,1993-01-31,-1.3,2.9,55,1033,0,8.5

_1896,PORTOROŽ - LETALIŠČE,1993-02-01,0.4,3.9,54,1036,0,8.1

