date;sampling station;sampling depth;sampling method;Alexandrium cf. minutum;Alexandrium spp.(400x);Alexandrium cf. concavum;Alexandrium cf. insuetum;Alexandrium pseudogonyaulax;Alexandrium cf. tamarense;Alexandrium spp.(200x);PSP;Dinophysis acuminata;Dinophysis acuta;Dinophysis cf. acutoides;Dinophysis caudata;Dinophysis fortii;Dinophysis hastata;Dinophysis nasuta;Dinophysis norvegica;Dinophysis ovum;Dinophysis cf. parva;Phalacroma parvulum;Dinophysis recurva/D.ovum;Phalacroma rotundatum;Dinophysis sacculus;Dinophysis similis;Dinophysis schuettii;Dinophysis spp.;Dinophysis sp. (mali);Dinophysis tripos;Phalacroma doryphorum;Phalacroma mitra;Phalacroma operculoides;Phalacroma rapa;Phalacroma sp. ;Prorocentrum lima;DSP;Lingulodinium polyedra;Protoceratium reticulatum;DSP_like;Gonyaulax fragilis;Pseudo-nitzschia cf. calliantha;Pseudo-nitzschia sp.;Pseudo-nitzschia cf. fraudulenta;Pseudo-nitzschia cf. pungens;Pseudo-nitzschia seriata gr.;Pseudo-nitzschia multistriata;Pseudo-nitzschia cf. galaxiae;Pseudo-nitzschia delicatissima gr.;ASP;Karenia papilionacea;cf. Karenia
1994-05-17;0035;0;Niskin;NA;NA;NA;NA;NA;NA;NA;1206;7;;;27;0;;;;0;;;;21;0;;;13;;0;;;;;;;68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-05-17;0035;12;Niskin;NA;NA;NA;NA;NA;NA;NA;31;0;;;13;0;;;;0;;;;3;0;;;0;;0;;;;;;;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-05-17;0035;5;Niskin;NA;NA;NA;NA;NA;NA;NA;0;0;;;38;0;;;;0;;;;3;0;;;0;;0;;;;;;;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-05-17;0024;0;Niskin;NA;NA;NA;NA;NA;NA;NA;4188;9;;;8;0;;;;0;;;;0;0;;;0;;0;;;;;;;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-05-17;0024;12;Niskin;NA;NA;NA;NA;NA;NA;NA;222;0;;;0;0;;;;0;;;;2;0;;;0;;0;;;;;;;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-05-17;0024;5;Niskin;NA;NA;NA;NA;NA;NA;NA;126;0;;;0;0;;;;0;;;;8;0;;;0;;0;;;;;;;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-06-06;0DB2;0;bucket;NA;NA;NA;NA;NA;NA;NA;0;0;;;16;3;;;;0;;;;5;0;;;3;;0;;;;;;;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-06-13;0024;0;bucket;NA;NA;NA;NA;NA;NA;NA;324;20;;;3;0;;;;0;;;;0;0;;;0;;0;;;;;;;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-06-21;0035;0;bucket;NA;NA;NA;NA;NA;NA;NA;0;12;;;8;0;;;;0;;;;0;0;;;0;;0;;;;;;;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994-06-28;0DB2;0;bucket;NA;NA;NA;NA;NA;NA;NA;0;10;;;26;2;;;;0;;;;0;0;;;0;;0;;;;;;;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
