date,sampling station,sampling depth,sampling method,PSP,DSP,DSP_like,ASP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,lipophylic_toxins
1994-05-17,35,0,Niskin,1206.0,68.0,?,?,27.0,0.0,21.0,0.0,0.0,?
1994-05-17,24,0,Niskin,4188.0,17.0,?,?,8.0,0.0,0.0,0.0,0.0,?
1994-06-06,0DB2,0,bucket,0.0,27.0,?,?,16.0,3.0,5.0,0.0,0.0,?
1994-06-13,24,0,bucket,324.0,23.0,?,?,3.0,0.0,0.0,0.0,0.0,?
1994-06-21,35,0,bucket,0.0,20.0,?,?,8.0,0.0,0.0,0.0,0.0,?
1994-06-28,0DB2,0,bucket,0.0,38.0,?,?,26.0,2.0,0.0,0.0,0.0,?
1994-07-07,24,0,bucket,81.0,2.0,?,?,0.0,0.0,0.0,0.0,0.0,?
1994-07-14,35,0,bucket,54.0,26.0,?,?,2.0,2.0,20.0,2.0,0.0,poz
1994-07-28,0DB2,0,bucket,0.0,4.0,?,?,0.0,2.0,2.0,0.0,0.0,poz
1994-08-08,24,0,bucket,218.0,26.0,?,?,0.0,4.0,18.0,0.0,0.0,poz
1994-08-24,35,0,bucket,0.0,10.0,?,?,0.0,5.0,5.0,0.0,0.0,?
1994-09-07,24,0,bucket,0.0,9.0,?,?,0.0,2.0,5.0,0.0,0.0,neg
1994-09-21,0DB2,0,bucket,0.0,0.0,?,?,0.0,0.0,0.0,0.0,0.0,neg
1994-11-22,0DB2,0,bucket,32.0,4.0,?,?,0.0,0.0,0.0,0.0,0.0,?
1994-11-22,35,0,bucket,0.0,2.0,?,?,0.0,2.0,0.0,0.0,0.0,?
1994-11-22,24,0,bucket,0.0,16.0,?,?,0.0,9.0,7.0,0.0,0.0,?
1995-06-01,35,2.5,Niskin,254.0,73.0,?,?,0.0,0.0,5.0,28.0,0.0,?
1995-06-01,24,2.5,Niskin,1645.0,343.0,?,?,0.0,0.0,7.0,94.0,0.0,?
