station id, station name, valid,povp. dnevna T [°C],povp. veter [m/s],povp. rel. vla. [%],povp. tlak [hPa],količina padavin [mm],trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,2013-01-01,4.4,4.8,78,1018,0,5.5
_1896,PORTOROŽ - LETALIŠČE,2013-01-02,7.7,1.5,92,1022,0.2,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-03,5.8,3.6,83,1033,1.1,6.6
_1896,PORTOROŽ - LETALIŠČE,2013-01-04,5.2,2.1,89,1028,0,0.9
_1896,PORTOROŽ - LETALIŠČE,2013-01-05,4.9,3.6,85,1020,0,5.4
_1896,PORTOROŽ - LETALIŠČE,2013-01-06,6.8,2.7,84,1020,0,6.3
_1896,PORTOROŽ - LETALIŠČE,2013-01-07,5.7,3.6,84,1022,0,7.8
_1896,PORTOROŽ - LETALIŠČE,2013-01-08,7.1,1.4,78,1025,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-09,8.1,1.9,84,1021,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-10,7.3,0.5,90,1012,0.3,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-11,4.4,2.7,92,1009,0,0.4
_1896,PORTOROŽ - LETALIŠČE,2013-01-12,3.4,3.2,80,1016,0,0.9
_1896,PORTOROŽ - LETALIŠČE,2013-01-13,5.9,1.6,87,1011,3.9,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-14,6.8,1.7,91,1008,23.6,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-15,6.8,3.2,80,1006,2.4,3.2
_1896,PORTOROŽ - LETALIŠČE,2013-01-16,4.1,4.9,81,996,1.8,1.5
_1896,PORTOROŽ - LETALIŠČE,2013-01-17,4,6.6,68,998,5.5,2.8
_1896,PORTOROŽ - LETALIŠČE,2013-01-18,5.3,3.6,54,1000,0,0.7
_1896,PORTOROŽ - LETALIŠČE,2013-01-19,5.2,2.8,73,1001,0,0.7
_1896,PORTOROŽ - LETALIŠČE,2013-01-20,8.4,0.7,96,997,12.3,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-21,8.8,1.8,94,994,23.1,0.2
_1896,PORTOROŽ - LETALIŠČE,2013-01-22,7.2,2.5,84,1001,4,2.3
_1896,PORTOROŽ - LETALIŠČE,2013-01-23,5.4,1.3,88,1007,1,3.5
_1896,PORTOROŽ - LETALIŠČE,2013-01-24,6.9,5.4,64,999,6.8,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-25,4.5,6.4,45,1008,0,6.7
_1896,PORTOROŽ - LETALIŠČE,2013-01-26,1.2,2.8,51,1011,0,8.8
_1896,PORTOROŽ - LETALIŠČE,2013-01-27,0.7,3.3,74,1014,0,6.8
_1896,PORTOROŽ - LETALIŠČE,2013-01-28,4.1,1,88,1016,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-29,4.7,2.3,89,1022,3.4,0.8
_1896,PORTOROŽ - LETALIŠČE,2013-01-30,6.5,1.3,82,1020,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-01-31,7,2.4,87,1020,0.2,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-01,7.6,1,87,1010,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-02,8.1,3.2,87,992,3.9,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-03,5,4.8,51,1010,44,5
_1896,PORTOROŽ - LETALIŠČE,2013-02-04,4.1,3.9,63,1016,0,7.7
_1896,PORTOROŽ - LETALIŠČE,2013-02-05,8.7,3,79,1009,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-06,6.6,1.5,75,997,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-07,4.7,4.6,62,1004,4.8,4.8
_1896,PORTOROŽ - LETALIŠČE,2013-02-08,4.4,3,42,1009,0,4.2
_1896,PORTOROŽ - LETALIŠČE,2013-02-09,3.1,3.2,52,1013,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-10,-0.2,3,65,1014,0,9.4
_1896,PORTOROŽ - LETALIŠČE,2013-02-11,4.4,4.7,76,1006,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-12,4.3,1.8,85,1004,28.5,2
_1896,PORTOROŽ - LETALIŠČE,2013-02-13,5.7,5.4,55,1010,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-14,6.8,2.8,55,1016,0,7.5
_1896,PORTOROŽ - LETALIŠČE,2013-02-15,3.9,3.4,67,1015,0,9.1
_1896,PORTOROŽ - LETALIŠČE,2013-02-16,5,3,61,1019,0,9.8
_1896,PORTOROŽ - LETALIŠČE,2013-02-17,2.9,3.4,66,1019,0,9.3
_1896,PORTOROŽ - LETALIŠČE,2013-02-18,3.7,2.8,61,1017,0,6.8
_1896,PORTOROŽ - LETALIŠČE,2013-02-19,3.1,3.4,67,1014,0,8
_1896,PORTOROŽ - LETALIŠČE,2013-02-20,5.9,2.6,65,1013,0,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-21,2.1,2.8,65,1010,0.2,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-22,1.9,3.2,66,1003,4.5,1.5
_1896,PORTOROŽ - LETALIŠČE,2013-02-23,2.3,3,81,1002,1.7,0.2
_1896,PORTOROŽ - LETALIŠČE,2013-02-24,4.6,2.4,87,1007,8.5,0
_1896,PORTOROŽ - LETALIŠČE,2013-02-25,4.8,3.7,68,1017,2.7,10
_1896,PORTOROŽ - LETALIŠČE,2013-02-26,7.6,3.8,67,1019,0,8.8
_1896,PORTOROŽ - LETALIŠČE,2013-02-27,7.5,3.2,64,1021,0.4,3
_1896,PORTOROŽ - LETALIŠČE,2013-02-28,5.3,3.2,78,1023,0,10.2
_1896,PORTOROŽ - LETALIŠČE,2013-03-01,5.4,4.1,84,1019,0,7.1
_1896,PORTOROŽ - LETALIŠČE,2013-03-02,4.9,3.6,57,1018,0,10.2
_1896,PORTOROŽ - LETALIŠČE,2013-03-03,3.6,4.6,65,1017,0,10.3
_1896,PORTOROŽ - LETALIŠČE,2013-03-04,5.4,3.4,56,1021,0,10.3
_1896,PORTOROŽ - LETALIŠČE,2013-03-05,7.1,2.4,62,1022,0,6
_1896,PORTOROŽ - LETALIŠČE,2013-03-06,10.8,0.7,93,1012,0.4,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-07,11.3,1.9,95,1006,19.5,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-08,11.2,1.3,97,1004,9.8,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-09,10.5,1.3,97,1003,6.1,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-10,9.2,2.6,91,1000,9.7,2.4
_1896,PORTOROŽ - LETALIŠČE,2013-03-11,10,1.9,88,999,0,1.2
_1896,PORTOROŽ - LETALIŠČE,2013-03-12,8.9,1.5,90,998,2.3,1.6
_1896,PORTOROŽ - LETALIŠČE,2013-03-13,9.6,2.6,85,996,4,2
_1896,PORTOROŽ - LETALIŠČE,2013-03-14,6,5.5,54,992,1.8,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-15,3.2,1.7,48,1007,0,5.7
_1896,PORTOROŽ - LETALIŠČE,2013-03-16,1.2,4.6,59,1020,0,10.4
_1896,PORTOROŽ - LETALIŠČE,2013-03-17,6.6,3.7,62,1015,0,2.8
_1896,PORTOROŽ - LETALIŠČE,2013-03-18,9,6,88,995,7.7,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-19,7.5,3.7,71,1002,25,9.5
_1896,PORTOROŽ - LETALIŠČE,2013-03-20,9.7,2.8,74,1007,0,4.3
_1896,PORTOROŽ - LETALIŠČE,2013-03-21,8.9,2.7,74,1010,4.9,8.5
_1896,PORTOROŽ - LETALIŠČE,2013-03-22,7.4,3.7,53,1012,0,11.2
_1896,PORTOROŽ - LETALIŠČE,2013-03-23,9,2.4,69,1012,0,0.9
_1896,PORTOROŽ - LETALIŠČE,2013-03-24,5.9,2.9,70,1009,3.3,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-25,1.3,5.8,77,1000,10.6,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-26,4.4,4.3,53,1003,14.4,6.5
_1896,PORTOROŽ - LETALIŠČE,2013-03-27,3.4,2.7,62,1009,0,4.1
_1896,PORTOROŽ - LETALIŠČE,2013-03-28,7.6,2.2,71,1012,0,2.8
_1896,PORTOROŽ - LETALIŠČE,2013-03-29,8.8,2,94,1006,12.6,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-30,12.1,3.5,91,999,23.1,0
_1896,PORTOROŽ - LETALIŠČE,2013-03-31,8.4,3.9,82,998,11,0
_1896,PORTOROŽ - LETALIŠČE,2013-04-01,7.9,2.4,75,1006,17,0.7
_1896,PORTOROŽ - LETALIŠČE,2013-04-02,7.8,4.5,62,1001,1.5,0
_1896,PORTOROŽ - LETALIŠČE,2013-04-03,10,3,53,1005,0.4,0.1
_1896,PORTOROŽ - LETALIŠČE,2013-04-04,10,2.2,68,1008,0,4.8
_1896,PORTOROŽ - LETALIŠČE,2013-04-05,10,2.3,81,1000,0.5,0
_1896,PORTOROŽ - LETALIŠČE,2013-04-06,10,1.1,78,1010,24.1,0.4
_1896,PORTOROŽ - LETALIŠČE,2013-04-07,9.1,4.8,55,1012,0.1,11.8
_1896,PORTOROŽ - LETALIŠČE,2013-04-08,8.4,2.3,59,1010,0,8.4
_1896,PORTOROŽ - LETALIŠČE,2013-04-09,10,1.7,80,1009,4.1,3.6
_1896,PORTOROŽ - LETALIŠČE,2013-04-10,9.3,2.5,86,1012,19.6,6.4
_1896,PORTOROŽ - LETALIŠČE,2013-04-11,12.6,3.2,75,1014,0,6.4
_1896,PORTOROŽ - LETALIŠČE,2013-04-12,15.9,5.2,69,1010,0.5,1.2
_1896,PORTOROŽ - LETALIŠČE,2013-04-13,13.4,3,75,1020,0.4,11.7
_1896,PORTOROŽ - LETALIŠČE,2013-04-14,13.2,3.5,72,1026,0,12.6
_1896,PORTOROŽ - LETALIŠČE,2013-04-15,14.6,3.4,70,1023,0,12.7
