station id, station name, valid,trajanje sonca [h]
_1896,PORTOROŽ - LETALIŠČE,2013/01,71.8
_1896,PORTOROŽ - LETALIŠČE,2013/02,117.3
_1896,PORTOROŽ - LETALIŠČE,2013/03,117.8
_1896,PORTOROŽ - LETALIŠČE,2013/04,194
_1896,PORTOROŽ - LETALIŠČE,2013/05,211.2
_1896,PORTOROŽ - LETALIŠČE,2013/06,325.3
_1896,PORTOROŽ - LETALIŠČE,2013/07,360.9
_1896,PORTOROŽ - LETALIŠČE,2013/08,332.9
_1896,PORTOROŽ - LETALIŠČE,2013/09,225.5
_1896,PORTOROŽ - LETALIŠČE,2013/10,123.2
_1896,PORTOROŽ - LETALIŠČE,2013/11,100.5
_1896,PORTOROŽ - LETALIŠČE,2013/12,129.9
_1896,PORTOROŽ - LETALIŠČE,2014/01,28.6
_1896,PORTOROŽ - LETALIŠČE,2014/02,83.4
_1896,PORTOROŽ - LETALIŠČE,2014/03,212.4
_1896,PORTOROŽ - LETALIŠČE,2014/04,170
_1896,PORTOROŽ - LETALIŠČE,2014/05,245.8
_1896,PORTOROŽ - LETALIŠČE,2014/06,308.2
_1896,PORTOROŽ - LETALIŠČE,2014/07,254.3
_1896,PORTOROŽ - LETALIŠČE,2014/08,286
_1896,PORTOROŽ - LETALIŠČE,2014/09,187.3
_1896,PORTOROŽ - LETALIŠČE,2014/10,181.6
_1896,PORTOROŽ - LETALIŠČE,2014/11,91.6
_1896,PORTOROŽ - LETALIŠČE,2014/12,78.5
_1896,PORTOROŽ - LETALIŠČE,2015/01,97.1
_1896,PORTOROŽ - LETALIŠČE,2015/02,124.3
_1896,PORTOROŽ - LETALIŠČE,2015/03,177.5
_1896,PORTOROŽ - LETALIŠČE,2015/04,251.1
_1896,PORTOROŽ - LETALIŠČE,2015/05,248.7
_1896,PORTOROŽ - LETALIŠČE,2015/06,330.9
_1896,PORTOROŽ - LETALIŠČE,2015/07,372.7
_1896,PORTOROŽ - LETALIŠČE,2015/08,304.1
_1896,PORTOROŽ - LETALIŠČE,2015/09,211.9
_1896,PORTOROŽ - LETALIŠČE,2015/10,148
_1896,PORTOROŽ - LETALIŠČE,2015/11,129.8
_1896,PORTOROŽ - LETALIŠČE,2015/12,87.1
_1896,PORTOROŽ - LETALIŠČE,2016/01,90.6
_1896,PORTOROŽ - LETALIŠČE,2016/02,76.8
_1896,PORTOROŽ - LETALIŠČE,2016/03,147.5
_1896,PORTOROŽ - LETALIŠČE,2016/04,205.1
_1896,PORTOROŽ - LETALIŠČE,2016/05,251.2
_1896,PORTOROŽ - LETALIŠČE,2016/06,246.6
_1896,PORTOROŽ - LETALIŠČE,2016/07,341.7
_1896,PORTOROŽ - LETALIŠČE,2016/08,351.9
_1896,PORTOROŽ - LETALIŠČE,2016/09,232.1
_1896,PORTOROŽ - LETALIŠČE,2016/10,154.9
_1896,PORTOROŽ - LETALIŠČE,2016/11,80.5
_1896,PORTOROŽ - LETALIŠČE,2016/12,148.3
_1896,PORTOROŽ - LETALIŠČE,2017/01,180.7
_1896,PORTOROŽ - LETALIŠČE,2017/02,96.8
_1896,PORTOROŽ - LETALIŠČE,2017/03,215.5
_1896,PORTOROŽ - LETALIŠČE,2017/04,240.8
_1896,PORTOROŽ - LETALIŠČE,2017/05,290.6
