date;sampling station;lipophylic toxins;lipophylic toxins (OA (µg/kg));lipophylic toxins (DTX2 (µg/kg));PSP toxins;ASP toxins;yessotoxins;ban start;ban stop;data source;comments
1989-09-15;0035;poz;;;;;;;;Sedmak in sod., 1990;
1989-09-15;0024;poz;;;;;;;;Sedmak in sod., 1990;
1989-09-25;0035;;;;;;;y;;Sedmak&Obal 1998;
1989-09-25;0024;;;;;;;y;;Sedmak&Obal 1998;
1989-09-25;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
1989-12-10;0035;;;;;;;;y;Sedmak in sod., 1990;
1990-01-19;0024;neg;;;;;;;;Sedmak&Obal 1998;
1990-03-03;0024;neg;;;;;;;y;Sedmak&Obal 1998;
1990-03-03;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
1990-07-25;0035;poz;;;;;;y;;Sedmak&Obal 1998;
1990-07-25;0024;poz;;;;;;y;;Sedmak&Obal 1998;
1990-07-25;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
1990-08-02;0035;neg;;;;;;;y;Sedmak&Obal 1998;
1990-08-02;0024;neg;;;;;;;y;Sedmak&Obal 1998;
1990-08-02;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
1993-10-11;0035;poz;;;;;;y;;Sedmak&Obal 1998;
1993-10-11;0024;poz;;;;;;y;;Sedmak&Obal 1998;
1993-10-11;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
1993-11-22;0035;neg;;;;;;;y;Sedmak&Obal 1998;
1993-11-22;0024;neg;;;;;;;y;Sedmak&Obal 1998;
1993-11-22;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
1994-08-09;0035;poz;;;;;;y;;Sedmak&Obal 1998;
1994-08-09;0024;poz;;;;;;y;;Sedmak&Obal 1998;
1994-08-09;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
1994-09-27;0035;neg;;;;;;;y;Sedmak&Obal 1998;
1994-09-27;0024;neg;;;;;;;y;Sedmak&Obal 1998;
1994-09-27;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
1995-09-22;0035;poz;;;;;;y;;Sedmak&Obal 1998;
1995-09-22;0024;poz;;;;;;y;;Sedmak&Obal 1998;
1995-09-22;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
1995-11-03;0035;neg;;;;;;;y;Sedmak&Obal 1998;
1995-11-03;0024;neg;;;;;;;y;Sedmak&Obal 1998;
1995-11-03;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
1996-10-03;0035;poz;;;;;;y;;Sedmak&Obal 1998;
1996-10-03;0024;poz;;;;;;y;;Sedmak&Obal 1998;
1996-10-03;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
1996-11-08;0035;neg;;;;;;;y;Sedmak&Obal 1998;
1996-11-08;0024;neg;;;;;;;y;Sedmak&Obal 1998;
1996-11-08;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;opustili leta 1996, spet začelo obratovati 2006
1997-08-01;0035;poz;;;;;;y;;Sedmak&Obal 1998;
1997-08-01;0024;poz;;;;;;y;;Sedmak&Obal 1998;
1997-10-30;0035;neg;;;;;;;y;Sedmak&Obal 1998;
1997-10-30;0024;neg;;;;;;;y;Sedmak&Obal 1998;
1999-06-17;0035;neg;;;neg;x;;;;Sedmak in sod., 2003;
1999-06-17;0024;neg;;;neg;x;;;;Sedmak in sod., 2003;
1999-07-08;0035;neg;;;neg;x;;;;Sedmak in sod., 2003;
1999-07-08;0024;neg;;;neg;x;;;;Sedmak in sod., 2003;
1999-07-21;0024;neg;;;x;x;;;;Sedmak in sod., 2003;
1999-07-22;0035;neg;;;x;x;;;;Sedmak in sod., 2003;
1999-07-22;0024;neg;;;x;x;;;;Sedmak in sod., 2003;
1999-08-05;0035;neg;;;x;x;;;;Sedmak in sod., 2003;
1999-08-13;0024;neg;;;x;x;;;;Sedmak in sod., 2003;
1999-08-25;0024;neg;;;x;x;;;;Sedmak in sod., 2003;
1999-09-02;0035;neg;;;x;x;;;;Sedmak in sod., 2003;
1999-09-02;0024;neg;;;x;x;;;;Sedmak in sod., 2003;
