date;sampling station;lipophylic toxins;lipophylic toxins (OA (µg/kg));lipophylic toxins (DTX2 (µg/kg));PSP toxins;ASP toxins;yessotoxins;ban start;ban stop;data source
1989-09-15;35;poz;;;;;;;;Sedmak in sod., 1990
1989-09-15;24;poz;;;;;;;;Sedmak in sod., 1990
1989-09-25;35;;;;;;;y;;Sedmak&Obal 1998
1989-09-25;24;;;;;;;y;;Sedmak&Obal 1998
1989-09-25;0DB2;poz;;;;;;y;;Sedmak&Obal 1998
1989-12-10;35;;;;;;;;y;Sedmak in sod., 1990
1990-01-19;24;neg;;;;;;;;Sedmak&Obal 1998
1990-03-03;24;neg;;;;;;;y;Sedmak&Obal 1998
1990-03-03;0DB2;neg;;;;;;;y;Sedmak&Obal 1998
1990-07-25;35;poz;;;;;;y;;Sedmak&Obal 1998
1990-07-25;24;poz;;;;;;y;;Sedmak&Obal 1998
1990-07-25;0DB2;poz;;;;;;y;;Sedmak&Obal 1998
1990-08-02;35;neg;;;;;;;y;Sedmak&Obal 1998
1990-08-02;24;neg;;;;;;;y;Sedmak&Obal 1998
1990-08-02;0DB2;neg;;;;;;;y;Sedmak&Obal 1998
1993-10-11;35;poz;;;;;;y;;Sedmak&Obal 1998
1993-10-11;24;poz;;;;;;y;;Sedmak&Obal 1998
1993-10-11;0DB2;poz;;;;;;y;;Sedmak&Obal 1998
1993-11-22;35;neg;;;;;;;y;Sedmak&Obal 1998
1993-11-22;24;neg;;;;;;;y;Sedmak&Obal 1998
1993-11-22;0DB2;neg;;;;;;;y;Sedmak&Obal 1998
1994-08-09;35;poz;;;;;;y;;Sedmak&Obal 1998
1994-08-09;24;poz;;;;;;y;;Sedmak&Obal 1998
1994-08-09;0DB2;poz;;;;;;y;;Sedmak&Obal 1998
1994-09-27;35;neg;;;;;;;y;Sedmak&Obal 1998
1994-09-27;24;neg;;;;;;;y;Sedmak&Obal 1998
1994-09-27;0DB2;neg;;;;;;;y;Sedmak&Obal 1998
1995-09-22;35;poz;;;;;;y;;Sedmak&Obal 1998
1995-09-22;24;poz;;;;;;y;;Sedmak&Obal 1998
1995-09-22;0DB2;poz;;;;;;y;;Sedmak&Obal 1998
1995-11-03;35;neg;;;;;;;y;Sedmak&Obal 1998
1995-11-03;24;neg;;;;;;;y;Sedmak&Obal 1998
1995-11-03;0DB2;neg;;;;;;;y;Sedmak&Obal 1998
1996-10-03;35;poz;;;;;;y;;Sedmak&Obal 1998
1996-10-03;24;poz;;;;;;y;;Sedmak&Obal 1998
1996-10-03;0DB2;poz;;;;;;y;;Sedmak&Obal 1998
1996-11-08;35;neg;;;;;;;y;Sedmak&Obal 1998
1996-11-08;24;neg;;;;;;;y;Sedmak&Obal 1998
1996-11-08;0DB2;neg;;;;;;;y;Sedmak&Obal 1998
1997-08-01;35;poz;;;;;;y;;Sedmak&Obal 1998
1997-08-01;24;poz;;;;;;y;;Sedmak&Obal 1998
1997-10-30;35;neg;;;;;;;y;Sedmak&Obal 1998
1997-10-30;24;neg;;;;;;;y;Sedmak&Obal 1998
1999-06-17;35;neg;;;neg;x;;;;Sedmak in sod., 2003
1999-06-17;24;neg;;;neg;x;;;;Sedmak in sod., 2003
1999-07-08;35;neg;;;neg;x;;;;Sedmak in sod., 2003
1999-07-08;24;neg;;;neg;x;;;;Sedmak in sod., 2003
1999-07-21;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-07-22;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-07-22;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-08-05;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-08-13;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-08-25;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-02;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-02;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-09;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-09;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-10;35;;;;;;;y;;Sedmak in sod., 2003
1999-09-10;24;;;;;;;y;;Sedmak in sod., 2003
1999-09-15;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-15;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-17;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-21;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-09-27;35;;;;;;;;y;Sedmak in sod., 2003
1999-09-27;24;;;;;;;;y;Sedmak in sod., 2003
1999-09-28;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-10-14;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-11-15;24;poz;;;x;x;;;;Sedmak in sod., 2003
1999-11-17;35;;;;;;;y;;Sedmak in sod., 2003
1999-11-17;24;;;;;;;y;;Sedmak in sod., 2003
1999-11-19;35;poz;;;neg;x;;;;Sedmak in sod., 2003
1999-12-06;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-12-13;24;neg;;;x;x;;;;Sedmak in sod., 2003
1999-12-14;35;neg;;;x;x;;;;Sedmak in sod., 2003
1999-12-17;35;;;;;;;;y;Sedmak in sod., 2003
1999-12-17;24;;;;;;;;y;Sedmak in sod., 2003
2000-05-26;35;x;;;neg;x;;;;Sedmak in sod., 2003
2000-05-26;24;x;;;neg;x;;;;Sedmak in sod., 2003
2000-06-09;35;neg;;;neg;x;;;;Sedmak in sod., 2003
2000-06-09;24;neg;;;neg;x;;;;Sedmak in sod., 2003
2000-06-22;35;neg;;;neg;x;;;;Sedmak in sod., 2003
