@relation HAB_1_0

@attribute date {1994-05-17,1994-06-06,1994-06-13,1994-06-21,1994-06-28,1994-07-07,1994-07-14,1994-07-28,1994-08-08,1994-08-24,1994-09-07,1994-09-21,1994-11-22,1995-06-01,1995-06-27,1995-07-11,1995-07-26,1995-08-10,1995-08-22,1995-09-13,1995-10-03,1995-10-18,1995-11-23,1996-05-14,1996-06-11,1996-06-28,1996-07-09,1996-07-23,1996-08-05,1996-09-05,1996-09-24,1996-10-10,1996-10-22,1996-10-25,1996-11-21,1997-04-23,1997-05-14,1997-06-12,1997-06-24,1997-07-08,1997-07-24,1997-08-05,1997-08-20,1997-09-04,1997-09-23,1997-10-06,1997-10-20,1997-11-04,1997-11-25,1998-04-22,1998-05-11,1998-05-26,1998-06-10,1998-06-23,1998-07-06,1998-07-20,1998-08-04,1998-08-17,1998-09-01,1998-09-16,1998-10-02,1998-10-26,1999-05-20,1999-06-02,1999-06-15,1999-06-29,1999-07-14,1999-07-28,1999-08-09,1999-08-24,1999-09-01,1999-09-08,1999-09-15,1999-09-22,1999-09-29,1999-10-06,1999-10-13,1999-10-21,1999-10-28,1999-11-18,1999-11-19,2000-01-18,2000-02-04,2000-03-15,2000-04-12,2000-05-09,2000-05-23,2000-06-06,2000-06-20,2000-07-05,2000-07-20,2000-08-02,2000-08-16,2000-08-29,2000-09-12,2000-09-26,2000-10-10,2000-10-23,2000-11-07,2000-11-23,2000-12-12,2001-01-17,2001-02-13,2001-03-12,2001-04-18,2001-05-08,2001-05-21,2001-06-05,2001-06-19,2001-07-03,2001-07-17,2001-07-31,2001-08-14,2001-08-28,2001-09-11,2001-09-25,2001-10-09,2001-10-23,2001-11-06,2001-11-19,2002-01-16,2002-02-12,2002-03-12,2002-04-17,2002-05-07,2002-05-22,2002-06-04,2002-06-18,2002-07-02,2002-07-17,2002-07-30,2002-08-26,2002-09-10,2002-10-01,2002-10-15,2002-11-05,2002-11-27,2002-12-12,2003-01-29,2003-02-20,2003-03-19,2003-04-16,2003-05-19,2003-05-27,2003-06-11,2003-06-24,2003-07-25,2003-07-31,2003-08-20,2003-09-05,2003-09-17,2003-09-30,2003-10-20,2003-11-18,2003-12-15,2004-05-11,2004-05-26,2004-06-15,2004-06-30,2004-07-14,2004-07-28,2004-08-10,2004-08-25,2004-09-14,2004-09-29,2005-05-12,2005-05-27,2005-06-15,2005-06-27,2005-07-20,2005-08-05,2005-08-17,2005-08-31,2005-09-14,2005-09-27,2005-10-14,2005-10-28,2006-05-16,2006-06-14,2006-06-21,2006-06-28,2006-07-12,2006-07-19,2006-08-02,2006-08-08,2006-08-17,2006-08-23,2006-08-29,2006-09-06,2006-09-13,2006-09-22,2006-09-28,2006-10-04,2006-10-11,2006-10-18,2006-10-25,2006-11-08,2006-11-15,2006-11-29,2007-05-09,2007-05-30,2007-06-13,2007-06-27,2007-07-12,2007-07-25,2007-08-01,2007-08-08,2007-08-23,2007-08-29,2007-09-06,2007-09-12,2007-09-20,2007-09-25,2007-10-03,2007-10-17,2007-10-08,2007-10-25,2007-11-07,2007-11-20,2007-11-29,2008-01-21,2008-02-13,2008-03-12,2008-04-30,2008-05-19,2008-05-22,2008-06-11,2008-06-24,2008-07-09,2008-07-16,2008-07-30,2008-08-14,2008-08-27,2008-09-03,2008-09-10,2008-09-24,2008-09-30,2008-10-08,2008-10-15,2008-10-22,2008-11-03,2008-11-20,2008-12-03,2008-12-17,2008-12-18,2008-12-19,2009-01-13,2009-02-12,2009-03-17,2009-04-15,2009-05-13,2009-05-29,2009-06-03,2009-06-09,2009-06-18,2009-07-01,2009-07-15,2009-07-29,2009-08-12,2009-08-26,2009-09-02,2009-09-09,2009-09-16,2009-09-23,2009-09-30,2009-10-07,2009-10-13,2009-10-21,2009-10-27,2009-11-11,2009-11-24,2009-12-21,2010-01-13,2010-02-17,2010-03-17,2010-04-14,2010-04-28,2010-05-13,2010-05-26,2010-06-09,2010-06-15,2010-06-23,2010-07-07,2010-07-14,2010-07-20,2010-08-05,2010-08-18,2010-08-25,2010-09-07,2010-09-15,2010-09-21,2010-09-28,2010-10-21,2010-10-29,2010-11-10,2010-11-17,2010-12-10,2011-01-19,2011-02-16,2011-03-15,2011-04-01,2011-04-14,2011-05-03,2011-05-12,2011-05-31,2011-06-15,2011-06-29,2011-07-06,2011-07-13,2011-07-27,2011-08-03,2011-08-17,2011-08-30,2011-09-07,2011-09-14,2011-09-26,2011-10-05,2011-10-12,2011-10-28,2011-11-15,2011-11-30,2011-12-14,2012-01-18,2012-02-15,2012-03-14,2012-04-11,2012-04-26,2012-05-15,2012-05-30,2012-06-14,2012-06-27,2012-07-04,2012-07-18,2012-07-30,2012-08-07,2012-08-22,2012-08-29,2012-09-11,2012-09-21,2012-10-02,2012-10-10,2012-10-24,2012-11-06,2012-11-16,2012-11-26,2012-12-13,2012-12-19,2013-01-21,2013-02-19,2013-03-12,2013-04-04,2013-04-17,2013-05-07,2013-05-15,2013-05-21,2013-06-04,2013-06-18,2013-06-26,2013-07-10,2013-07-17,2013-07-31,2013-08-08,2013-08-26,2013-09-04,2013-09-18,2013-09-25,2013-10-09,2013-10-14,2013-10-30,2013-11-18,2013-11-28,2013-12-12,2014-01-16,2014-02-18,2014-03-18,2014-04-01,2014-04-22,2014-04-30,2014-05-15,2014-05-28,2014-06-10,2014-06-23,2014-07-07,2014-07-15,2014-07-22,2014-08-06,2014-08-20,2014-09-08,2014-09-17,2014-09-23,2014-09-30,2014-10-07,2014-10-23,2014-10-30,2014-11-13,2014-11-27,2014-12-11,2015-01-14,2015-02-19,2015-03-18,2015-04-02,2015-04-15,2015-04-29,2015-05-13,2015-05-26,2015-06-08,2015-06-22,2015-07-01,2015-07-15,2015-07-27,2015-08-04,2015-08-20,2015-09-01,2015-10-05,2015-10-20,2015-10-27,2015-11-04,2015-11-17,2015-11-25,2015-12-04,2015-12-15,2015-12-23,2016-01-19,2016-02-11,2016-03-21,2016-04-20,2016-05-03,2016-05-18,2016-05-27,2016-06-22,2016-07-01,2016-07-13,2016-07-27,2016-08-17,2016-08-31,2016-09-15,2016-09-27,2016-10-12,2016-10-19,2016-10-26,2016-11-09,2016-11-18,2016-11-30,2016-12-14,2017-01-23,2017-02-15,2017-03-14,2017-04-13,2017-04-24,2017-05-16,2017-05-31,2017-06-12,2017-06-28,2017-07-12,2017-07-25,2017-08-16,2017-08-25,2017-08-31,2017-09-13,2017-09-22,2017-10-02,2017-10-16,2017-10-27,2017-11-20,2017-12-04,2017-12-18,2018-01-16,2018-02-15,2018-03-14,2018-04-06,2018-04-23,2018-05-07,2018-05-16,2018-06-05,2018-06-18,2018-07-03,2018-07-18,2018-08-01,2018-08-21,2018-08-31,2018-09-17,2018-09-27,2018-10-05,2018-10-17,2018-10-26,2018-11-14,2018-12-03,2018-12-18,2019-01-15,2019-02-13,2019-03-14,2019-04-16,2019-04-30,2019-05-16,2019-05-28,2019-06-19,2019-06-26,2019-07-05,2019-07-17,2019-08-01,2019-08-20,2019-09-02,2019-09-17,2019-09-26,2019-10-09,2019-10-16,2019-10-28,2019-11-21,2019-12-05,2019-12-16,2020-01-15}
@attribute 'sampling station' {Seca,Strunjan,Debeli_rtic}
@attribute 'sampling depth' {integrated,0,10,2.5,0.5,6,1,14,12}
@attribute 'sampling method' {Niskin,bucket,'phytoplankton net','hose sampler'}
@attribute PSP numeric
@attribute DSP numeric
@attribute DSP_like numeric
@attribute ASP numeric
@attribute 'Dinophysis caudata' numeric
@attribute 'Dinophysis fortii' numeric
@attribute 'Phalacroma rotundatum' numeric
@attribute 'Dinophysis sacculus' numeric
@attribute 'Dinophysis tripos' numeric
@attribute lipophylic_toxins {poz,neg}

@data
1994-05-17,Seca,0,Niskin,1206,68,?,?,27,0,21,0,0,?
1994-05-17,Strunjan,0,Niskin,4188,17,?,?,8,0,0,0,0,?
1994-06-06,Debeli_rtic,0,bucket,0,27,?,?,16,3,5,0,0,?
1994-06-13,Strunjan,0,bucket,324,23,?,?,3,0,0,0,0,?
1994-06-21,Seca,0,bucket,0,20,?,?,8,0,0,0,0,?
1994-06-28,Debeli_rtic,0,bucket,0,38,?,?,26,2,0,0,0,?
1994-07-07,Strunjan,0,bucket,81,2,?,?,0,0,0,0,0,?
1994-07-14,Seca,0,bucket,54,26,?,?,2,2,20,2,0,poz
1994-07-28,Debeli_rtic,0,bucket,0,4,?,?,0,2,2,0,0,poz
1994-08-08,Strunjan,0,bucket,218,26,?,?,0,4,18,0,0,poz
1994-08-24,Seca,0,bucket,0,10,?,?,0,5,5,0,0,?
1994-09-07,Strunjan,0,bucket,0,9,?,?,0,2,5,0,0,neg
1994-09-21,Debeli_rtic,0,bucket,0,0,?,?,0,0,0,0,0,neg
1994-11-22,Debeli_rtic,0,bucket,32,4,?,?,0,0,0,0,0,?
1994-11-22,Seca,0,bucket,0,2,?,?,0,2,0,0,0,?
1994-11-22,Strunjan,0,bucket,0,16,?,?,0,9,7,0,0,?
1995-06-01,Strunjan,2.5,Niskin,1645,343,?,?,0,0,7,94,0,?
1995-06-01,Seca,2.5,Niskin,254,73,?,?,0,0,5,28,0,?
1995-06-27,Strunjan,2.5,Niskin,0,10,?,?,0,0,0,0,0,?
1995-06-27,Seca,2.5,Niskin,33,25,?,?,0,0,2,19,0,?
1995-07-11,Strunjan,2.5,Niskin,199,243,?,?,0,0,5,155,0,?
1995-07-11,Seca,2.5,Niskin,0,169,?,?,0,0,10,95,0,?
1995-07-26,Strunjan,2.5,Niskin,478,10,?,?,0,0,0,10,0,?
1995-07-26,Seca,2.5,Niskin,540,28,?,?,0,0,2,8,0,?
1995-08-10,Strunjan,2.5,Niskin,67,5,?,?,0,0,0,0,0,?
1995-08-10,Seca,2.5,Niskin,32,5,?,?,0,0,0,0,0,?
1995-08-22,Seca,2.5,Niskin,64,11,?,?,2,0,0,2,0,?
1995-09-13,Strunjan,2.5,Niskin,0,169,?,?,18,20,0,54,0,poz
1995-09-13,Seca,2.5,Niskin,0,34,?,?,0,21,0,0,0,poz
1995-10-03,Strunjan,2.5,Niskin,0,138,?,?,101,26,3,0,3,?
1995-10-03,Seca,2.5,Niskin,0,85,?,?,61,22,0,0,0,?
1995-10-18,Strunjan,2.5,Niskin,0,3,?,?,0,3,0,0,0,neg
1995-10-18,Seca,2.5,Niskin,0,3,?,?,3,0,0,0,0,neg
1995-11-23,Strunjan,2.5,Niskin,0,2,?,?,0,0,0,2,0,?
1995-11-23,Seca,2.5,Niskin,0,7,?,?,0,0,5,0,2,?
1996-05-14,Seca,2.5,Niskin,1098,0,?,?,0,0,0,0,0,?
1996-05-14,Strunjan,2.5,Niskin,108,4,?,?,4,0,0,0,0,?
1996-06-11,Seca,2.5,Niskin,0,30,?,?,5,0,10,15,0,?
1996-06-11,Strunjan,2.5,Niskin,3263,3292,?,?,208,0,0,2876,0,?
1996-06-28,Seca,2.5,Niskin,0,33,?,?,4,0,4,25,0,?
1996-06-28,Strunjan,2.5,Niskin,52,62,?,?,4,0,0,58,0,?
1996-07-09,Seca,2.5,Niskin,0,36,?,?,0,0,12,24,0,?
1996-07-09,Strunjan,2.5,Niskin,166,65,?,?,12,0,0,53,0,?
1996-07-23,Seca,2.5,Niskin,0,24,?,?,20,0,4,0,0,?
1996-07-23,Strunjan,2.5,Niskin,74,6,?,?,0,6,0,0,0,?
1996-08-05,Seca,2.5,Niskin,0,47,?,?,43,4,0,0,0,?
1996-08-05,Strunjan,2.5,Niskin,56,13,?,?,13,0,0,0,0,?
1996-09-05,Seca,2.5,Niskin,42,6,?,?,6,0,0,0,0,poz
1996-09-05,Strunjan,2.5,Niskin,0,140,?,?,131,3,3,0,0,poz
1996-09-24,Seca,2.5,Niskin,86,228,?,?,0,222,6,0,0,poz
1996-09-24,Strunjan,2.5,Niskin,0,216,?,?,92,111,13,0,0,poz
1996-10-10,Seca,2.5,Niskin,0,0,?,?,0,0,0,0,0,neg
1996-10-10,Strunjan,2.5,Niskin,0,17,?,?,5,12,0,0,0,neg
1996-10-22,Seca,2.5,Niskin,0,0,?,?,0,0,0,0,0,neg
1996-10-22,Strunjan,2.5,Niskin,0,2,?,?,0,0,2,0,0,neg
1996-10-25,Seca,2.5,Niskin,0,0,?,?,0,0,0,0,0,neg
1996-10-25,Strunjan,2.5,Niskin,0,0,?,?,0,0,0,0,0,neg
1996-11-21,Seca,2.5,Niskin,0,0,?,?,0,0,0,0,0,?
1996-11-21,Strunjan,2.5,Niskin,0,17,?,?,2,5,10,0,0,?
1997-04-23,Strunjan,0,Niskin,256,0,0,?,0,0,0,0,0,?
1997-04-23,Seca,0,Niskin,444,0,0,?,0,0,0,0,0,?
1997-05-14,Strunjan,0,Niskin,263,0,0,?,0,0,0,0,0,?
1997-05-14,Seca,0,Niskin,134,0,0,?,0,0,0,0,0,?
1997-06-12,Strunjan,10,Niskin,414,42,199,?,0,0,0,42,0,?
1997-06-12,Seca,10,Niskin,783,9,1826,?,0,0,9,0,0,?
1997-06-24,Strunjan,0,Niskin,162,55,200,?,0,0,5,50,0,?
1997-06-24,Seca,10,Niskin,173,96,2920,?,0,0,0,96,0,?
1997-07-08,Strunjan,10,Niskin,0,64,0,?,9,46,9,0,0,poz
1997-07-08,Seca,10,Niskin,328,18,37,?,0,9,9,0,0,poz
1997-07-24,Strunjan,10,Niskin,?,26,0,?,13,13,0,0,0,poz
1997-07-24,Seca,0,Niskin,0,13,0,?,0,0,0,13,0,poz
1997-08-05,Strunjan,0,Niskin,223,54,4,?,25,0,0,29,0,?
1997-08-05,Seca,10,Niskin,0,61,4,?,12,37,8,4,0,?
1997-08-20,Strunjan,10,Niskin,86,96,0,?,0,86,10,0,0,?
1997-08-20,Seca,10,Niskin,86,240,0,?,19,211,5,0,0,?
1997-09-04,Strunjan,0,Niskin,71,28,0,?,23,0,0,5,0,?
1997-09-04,Seca,10,Niskin,62,32,0,?,0,18,14,0,0,?
1997-09-23,Strunjan,10,Niskin,80,204,0,?,84,116,4,0,0,?
1997-09-23,Seca,10,Niskin,0,46,0,?,5,36,5,0,0,?
1997-10-06,Strunjan,10,Niskin,0,77,0,?,36,27,9,0,0,neg
1997-10-06,Seca,10,Niskin,82,87,0,?,59,23,0,5,0,neg
1997-10-20,Strunjan,0,Niskin,259,96,0,?,72,14,0,10,0,neg
1997-10-20,Seca,0,Niskin,409,250,0,?,145,82,9,9,0,neg
1997-11-04,Strunjan,10,Niskin,264,219,0,?,180,24,5,0,0,?
1997-11-04,Seca,0,Niskin,166,166,0,?,129,23,0,14,0,?
1997-11-25,Strunjan,0,Niskin,0,177,0,?,132,36,0,0,0,?
1997-11-25,Seca,0,Niskin,4,27,0,?,9,9,0,0,0,?
1998-04-22,Strunjan,0,Niskin,485,0,0,?,0,0,0,0,0,?
1998-04-22,Seca,10,Niskin,331,0,0,?,0,0,0,0,0,?
1998-05-11,Strunjan,0,Niskin,85,5,0,?,0,0,0,5,0,?
1998-05-11,Seca,0,Niskin,0,5,0,?,0,0,0,5,0,?
1998-05-26,Strunjan,0,Niskin,80,0,0,?,0,0,0,0,0,?
1998-05-26,Seca,0,Niskin,86,15,0,?,10,0,0,5,0,?
1998-06-10,Strunjan,0,Niskin,0,14,0,?,5,0,9,0,0,?
1998-06-10,Seca,0,Niskin,166,28,0,?,5,0,9,14,0,?
1998-06-23,Strunjan,0,Niskin,0,81,0,?,24,0,0,57,0,?
