date,PSP,DSP,DSP_like,ASP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,Chl-a,salinity,T,SECCHI,NH4-N,NO2-N,NO3-N,PO4-P,SiO3-Si,O2,pH,Soca,lipophylic_toxins
May,1206.0,68.0,?,?,27.0,0.0,21.0,0.0,0.0,197.1,15.114285714285714,2.9333333333333327,26.200000000000003,1.15,33.78,13.58,7.0,1.25,0.0599999986588955,6.73000001907349,0.150000005960464,4.90999984741211,230.449996948242,8.0,1471.2309999999998,?
May,4188.0,17.0,?,?,8.0,0.0,0.0,0.0,0.0,197.1,15.114285714285714,2.9333333333333327,26.200000000000003,0.45,36.18,12.62,8.0,0.600000023841858,0.0399999991059303,1.12000000476837,0.119999997317791,3.01999998092651,250.100006103516,8.14999961853027,1471.2309999999998,?
June,0.0,27.0,?,?,16.0,3.0,5.0,0.0,0.0,166.3,18.790476190476188,3.1571428571428575,18.8,1.11,35.53,17.03,?,1.25,0.140000000596046,1.23000001907349,0.219999998807907,1.82000005245209,274.209991455078,8.14999961853027,3304.045,?
June,324.0,23.0,?,?,3.0,0.0,0.0,0.0,0.0,179.10000000000005,18.53333333333333,3.052380952380952,23.9,1.05,35.01,19.89,?,1.27999997138977,0.119999997317791,2.51999998092651,0.0900000035762787,0.829999983310699,275.109985351563,8.22000026702881,2263.1189999999997,?
June,0.0,20.0,?,?,8.0,0.0,0.0,0.0,0.0,157.5,19.09523809523809,3.0666666666666664,29.799999999999997,?,?,?,?,?,?,?,?,?,?,?,1873.2180000000008,?
June,0.0,38.0,?,?,26.0,2.0,0.0,0.0,0.0,155.0,20.700000000000003,2.9809523809523815,29.199999999999996,?,?,?,?,?,?,?,?,?,?,?,1375.0110000000002,?
July,81.0,2.0,?,?,0.0,0.0,0.0,0.0,0.0,214.50000000000003,24.23333333333333,2.9666666666666663,10.8,0.71,36.0,26.28,7.0,0.720000028610229,0.0500000007450581,0.550000011920929,0.239999994635582,0.00999999977648258,262.149993896484,8.17000007629395,1109.2860000000003,?
July,54.0,26.0,?,?,2.0,2.0,20.0,2.0,0.0,232.29999999999998,24.952380952380953,3.0952380952380945,8.3,0.77,36.17,26.88,6.0,0.879999995231628,0.100000001490116,0.860000014305115,0.209999993443489,0.00999999977648258,261.709991455078,8.15999984741211,1014.3579999999998,poz
July,0.0,4.0,?,?,0.0,2.0,2.0,0.0,0.0,229.29999999999998,24.714285714285715,3.1571428571428575,12.0,0.6,35.7,25.38,7.0,1.17999994754791,0.0700000002980232,5.51999998092651,0.330000013113022,0.00999999977648258,269.299987792969,8.11999988555908,859.664,poz
August,218.0,26.0,?,?,0.0,4.0,18.0,0.0,0.0,232.80000000000004,25.438095238095237,3.1523809523809527,5.200000000000001,0.41,36.71,24.16,?,1.42999994754791,0.0199999995529652,1.08000004291534,0.150000005960464,0.360000014305115,245.630004882813,8.14999961853027,750.1220000000001,poz
