date;sampling station;lipophylic toxins;lipophylic toxins (OA (µg/kg));lipophylic toxins (DTX2 (µg/kg));PSP toxins;ASP toxins;yessotoxins;ban start;ban stop;data source;comments
15/09/1989;0035;poz;;;;;;;;Sedmak in sod., 1990;
15/09/1989;0024;poz;;;;;;;;Sedmak in sod., 1990;
25/09/1989;0035;;;;;;;y;;Sedmak&Obal 1998;
25/09/1989;0024;;;;;;;y;;Sedmak&Obal 1998;
25/09/1989;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
10/12/1989;0035;;;;;;;;y;Sedmak in sod., 1990;
19/01/1990;0024;neg;;;;;;;;Sedmak&Obal 1998;
03/03/1990;0024;neg;;;;;;;y;Sedmak&Obal 1998;
03/03/1990;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
25/07/1990;0035;poz;;;;;;y;;Sedmak&Obal 1998;
25/07/1990;0024;poz;;;;;;y;;Sedmak&Obal 1998;
25/07/1990;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
02/08/1990;0035;neg;;;;;;;y;Sedmak&Obal 1998;
02/08/1990;0024;neg;;;;;;;y;Sedmak&Obal 1998;
02/08/1990;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
11/10/1993;0035;poz;;;;;;y;;Sedmak&Obal 1998;
11/10/1993;0024;poz;;;;;;y;;Sedmak&Obal 1998;
11/10/1993;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
22/11/1993;0035;neg;;;;;;;y;Sedmak&Obal 1998;
22/11/1993;0024;neg;;;;;;;y;Sedmak&Obal 1998;
22/11/1993;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
09/08/1994;0035;poz;;;;;;y;;Sedmak&Obal 1998;
09/08/1994;0024;poz;;;;;;y;;Sedmak&Obal 1998;
09/08/1994;0DB2;poz;;;;;;y;;Sedmak&Obal 1998;
27/09/1994;0035;neg;;;;;;;y;Sedmak&Obal 1998;
27/09/1994;0024;neg;;;;;;;y;Sedmak&Obal 1998;
27/09/1994;0DB2;neg;;;;;;;y;Sedmak&Obal 1998;
22/09/1995;0035;poz;;;;;;y;;Sedmak&Obal 1998;
22/09/1995;0024;poz;;;;;;y;;Sedmak&Obal 1998;
