DSP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,Chl-a,salinity,T,SECCHI,DIN,PO4-P,Soca,month,lipophylic_toxins
68.0,27.0,0.0,21.0,0.0,0.0,197.1,15.114285714285716,2.9333333333333327,26.200000000000003,1.15,33.78,13.58,7.0,8.040000017732385,0.150000005960464,3030.486,5,?
17.0,8.0,0.0,0.0,0.0,0.0,197.1,15.114285714285716,2.9333333333333327,26.200000000000003,0.45,36.18,12.62,8.0,1.7600000277161585,0.119999997317791,3030.486,5,?
27.0,16.0,3.0,5.0,0.0,0.0,166.3,18.790476190476188,3.157142857142857,18.8,1.11,35.53,17.03,?,2.6200000196695363,0.219999998807907,3931.3309999999997,6,?
23.0,3.0,0.0,0.0,0.0,0.0,179.10000000000005,18.53333333333333,3.052380952380952,23.9,1.05,35.01,19.89,?,3.919999949634071,0.0900000035762787,4090.3219999999997,6,?
20.0,8.0,0.0,0.0,0.0,0.0,157.5,19.095238095238095,3.0666666666666664,29.799999999999997,?,?,?,?,?,?,3221.8039999999996,6,?
38.0,26.0,2.0,0.0,0.0,0.0,155.0,20.7,2.9809523809523815,29.199999999999996,?,?,?,?,?,?,2535.2679999999996,6,?
2.0,0.0,0.0,0.0,0.0,0.0,214.50000000000003,24.23333333333333,2.9666666666666663,10.8,0.71,36.0,26.28,7.0,1.320000041276216,0.239999994635582,1945.4460000000001,7,?
26.0,2.0,2.0,20.0,2.0,0.0,232.29999999999998,24.952380952380953,3.0952380952380953,8.3,0.77,36.17,26.88,6.0,1.8400000110268588,0.209999993443489,1665.0630000000003,7,poz
4.0,0.0,2.0,2.0,0.0,0.0,229.29999999999998,24.714285714285715,3.157142857142857,12.0,0.6,35.7,25.38,7.0,6.769999928772443,0.330000013113022,1358.9479999999996,7,poz
26.0,0.0,4.0,18.0,0.0,0.0,232.80000000000004,25.438095238095237,3.1523809523809527,5.200000000000001,0.41,36.71,24.16,?,2.529999990016215,0.150000005960464,1169.2980000000002,8,poz
10.0,0.0,5.0,5.0,0.0,0.0,224.5,24.804761904761904,3.3999999999999995,19.7,0.44,36.98,24.91,?,2.309999991208308,0.209999993443489,1285.55,8,?
9.0,0.0,2.0,5.0,0.0,0.0,202.40000000000003,21.833333333333332,3.1380952380952385,113.6,0.46,36.13,26.39,12.0,1.949999976903202,0.180000007152557,1585.8790000000001,9,neg
0.0,0.0,0.0,0.0,0.0,0.0,157.4,19.447619047619046,3.8095238095238093,99.6,0.47,36.45,26.6,11.0,2.8199999704957004,0.119999997317791,3276.186,9,neg
16.0,0.0,9.0,7.0,0.0,0.0,58.59999999999998,11.514285714285714,2.5571428571428574,92.6,2.92,35.71,16.35,?,5.450000047683717,0.430000007152557,4086.175999999999,11,?
4.0,0.0,0.0,0.0,0.0,0.0,58.59999999999998,11.514285714285714,2.5571428571428574,92.6,1.39,36.55,17.7,9.0,3.260000020265579,0.140000000596046,4086.175999999999,11,?
2.0,0.0,2.0,0.0,0.0,0.0,58.59999999999998,11.514285714285714,2.5571428571428574,92.6,3.45,35.71,16.17,?,6.78000009059906,0.0700000002980232,4086.175999999999,11,?
343.0,0.0,0.0,7.0,94.0,0.0,128.99999999999997,16.057142857142857,2.8095238095238098,132.2,0.82,36.56,13.8,8.0,2.649999953806403,0.0599999986588955,4128.041000000001,6,?
73.0,0.0,0.0,5.0,28.0,0.0,128.99999999999997,16.057142857142857,2.8095238095238098,132.2,0.85,36.67,13.2,7.0,1.5100000202655797,0.0700000002980232,4128.041000000001,6,?
10.0,0.0,0.0,0.0,0.0,0.0,171.99999999999997,18.82857142857143,2.804761904761905,110.29999999999998,0.82,36.62,18.22,?,2.2599999383091935,0.0199999995529652,4136.951,6,?
25.0,0.0,0.0,2.0,19.0,0.0,171.99999999999997,18.82857142857143,2.804761904761905,110.29999999999998,0.4,36.24,19.93,?,2.8799999505281426,0.00999999977648258,4136.951,6,?
169.0,0.0,0.0,10.0,95.0,0.0,206.70000000000002,21.438095238095237,3.1476190476190475,98.50000000000001,0.4,36.24,19.93,?,2.8799999505281426,0.00999999977648258,3229.125,7,?
243.0,0.0,0.0,5.0,155.0,0.0,206.70000000000002,21.438095238095237,3.1476190476190475,98.50000000000001,0.82,36.62,18.22,?,2.2599999383091935,0.0199999995529652,3229.125,7,?
28.0,0.0,0.0,2.0,8.0,0.0,250.50000000000003,23.833333333333332,2.8095238095238093,39.800000000000004,0.4,36.24,19.93,?,2.8799999505281426,0.00999999977648258,1339.1750000000006,7,?
10.0,0.0,0.0,0.0,10.0,0.0,250.50000000000003,23.833333333333332,2.8095238095238093,39.800000000000004,0.82,36.62,18.22,?,2.2599999383091935,0.0199999995529652,1339.1750000000006,7,?
5.0,0.0,0.0,0.0,0.0,0.0,222.9,23.704761904761906,2.8095238095238093,25.099999999999998,0.77,34.74,24.95,9.0,8.100000038743026,0.0500000007450581,905.2,8,?
5.0,0.0,0.0,0.0,0.0,0.0,222.9,23.704761904761906,2.8095238095238093,25.099999999999998,0.59,34.49,24.6,12.0,8.940000154078007,0.0299999993294477,905.2,8,?
11.0,2.0,0.0,0.0,2.0,0.0,196.49999999999997,21.704761904761902,2.9095238095238094,33.7,0.94,35.77,23.81,?,1.349999956786628,0.0399999991059303,814.3430000000001,8,?
169.0,18.0,20.0,0.0,54.0,0.0,152.1,17.814285714285713,3.4952380952380957,89.20000000000002,0.57,36.49,21.31,14.0,1.7899999767541876,0.0299999993294477,2693.038,9,poz
34.0,0.0,21.0,0.0,0.0,0.0,152.1,17.814285714285713,3.4952380952380957,89.20000000000002,0.47,36.43,21.43,8.0,1.9099999219179127,0.0399999991059303,2693.038,9,poz
85.0,61.0,22.0,0.0,0.0,0.0,121.4,15.890476190476193,3.4142857142857146,65.8,0.47,36.43,21.43,8.0,1.9099999219179127,0.0399999991059303,5838.813,10,?
138.0,101.0,26.0,3.0,0.0,3.0,121.4,15.890476190476193,3.4142857142857146,65.8,0.57,36.49,21.31,14.0,1.7899999767541876,0.0299999993294477,5838.813,10,?
3.0,3.0,0.0,0.0,0.0,0.0,135.3,15.195238095238096,2.8666666666666667,15.299999999999999,1.88,36.71,20.13,?,3.0100000053644163,0.0500000007450581,3894.1389999999997,10,neg
3.0,0.0,3.0,0.0,0.0,0.0,135.3,15.195238095238096,2.8666666666666667,15.299999999999999,1.07,36.55,19.98,?,1.8699999749660536,0.0399999991059303,3894.1389999999997,10,neg
2.0,0.0,0.0,0.0,2.0,0.0,85.4,8.633333333333335,3.2952380952380946,55.5,1.68,37.22,16.31,6.0,2.870000019669526,0.0599999986588955,3507.033,11,?
7.0,0.0,0.0,5.0,0.0,2.0,85.4,8.633333333333335,3.2952380952380946,55.5,1.35,37.16,15.97,5.5,3.540000081062318,0.0599999986588955,3507.033,11,?
4.0,4.0,0.0,0.0,0.0,0.0,102.69999999999999,15.223809523809523,2.3619047619047615,74.69999999999999,?,?,?,?,?,?,4711.689000000001,5,?
0.0,0.0,0.0,0.0,0.0,0.0,102.69999999999999,15.223809523809523,2.3619047619047615,74.69999999999999,?,?,?,?,?,?,4711.689000000001,5,?
