month,DSP,Dinophysis caudata,Dinophysis fortii,Phalacroma rotundatum,Dinophysis sacculus,Dinophysis tripos,sun [h],air temp,wind strength,precipitation,Chl-a,salinity,T,DIN,PO4-P,Soca,poz %,neg %
January,9.0,1.16,2.96,3.66,0.09,0.2,72.62,4.95,2.71,46.53,0.76,36.95,11.07,6.79,0.07,4652.16,2.2,1.5
February,12.86,1.02,4.08,3.38,0.2,0.69,80.19,5.52,3.06,60.66,0.77,37.02,10.22,6.66,0.08,4378.79,2.2,2.1
March,12.38,0.21,0.68,3.79,0.43,0.64,118.56,7.55,3.3,30.01,0.77,37.17,9.49,4.37,0.05,3257.07,1.5,2.8
April,15.49,0.97,0.48,5.24,4.51,0.0,144.63,11.69,3.17,54.9,0.68,36.93,11.68,4.68,0.06,3826.1,1.5,6.6
May,59.0,6.0,0.97,9.67,34.25,0.15,171.96,16.22,2.89,48.55,0.96,36.57,14.87,3.92,0.07,3864.97,10.3,8.9
June,146.89,29.23,1.49,12.87,93.28,0.09,202.85,20.51,2.83,45.16,1.09,35.6,20.28,3.58,0.13,3436.93,8.8,11.5
July,237.04,67.07,44.5,19.57,97.25,0.04,227.47,23.31,2.88,38.27,0.75,35.4,23.48,3.38,0.05,2473.18,13.2,12.6
August,129.67,55.46,24.23,19.01,22.96,0.08,220.46,23.46,3.03,54.38,0.63,41.92,24.93,2.03,0.05,1637.28,8.1,12.7
September,116.79,28.04,58.58,12.81,3.57,6.04,174.65,20.06,3.11,69.73,0.64,36.59,24.38,2.06,0.05,2102.01,22.8,14.4
October,97.76,13.21,35.56,19.39,2.17,19.76,127.6,15.56,3.08,72.07,0.8,36.91,21.7,1.95,0.05,2988.28,17.6,13.9
November,80.54,13.81,29.33,19.09,1.11,8.9,82.48,11.35,3.01,74.21,1.2,36.72,17.61,3.09,0.06,5263.97,9.6,9.1
December,81.96,2.33,51.95,16.06,1.18,4.77,65.97,7.51,2.83,81.32,1.2,36.81,15.56,4.09,0.06,5868.74,2.2,3.9
